sample,psnr,ssim,time
IMG_1085_eslf,44.03,0.9859,276.65
IMG_1086_eslf,46.95,0.9925,1.23
IMG_1184_eslf,44.04,0.9789,0.76
IMG_1187_eslf,43.77,0.9837,0.82
IMG_1306_eslf,40.44,0.9880,0.91
IMG_1312_eslf,45.62,0.9896,0.96
IMG_1316_eslf,42.28,0.9902,1.06
IMG_1317_eslf,41.41,0.9908,1.11
IMG_1320_eslf,39.47,0.9900,1.15
IMG_1321_eslf,44.89,0.9901,1.24
IMG_1324_eslf,48.49,0.9903,1.31
IMG_1325_eslf,42.87,0.9864,1.36
IMG_1327_eslf,41.29,0.9873,1.43
IMG_1328_eslf,41.05,0.9811,1.52
IMG_1340_eslf,46.77,0.9909,1.57
IMG_1389_eslf,45.24,0.9935,1.64
IMG_1390_eslf,46.87,0.9926,1.70
IMG_1411_eslf,34.84,0.9724,1.80
IMG_1419_eslf,35.54,0.9793,1.84
IMG_1528_eslf,34.18,0.9715,1.90
IMG_1541_eslf,35.20,0.9757,1.96
IMG_1554_eslf,30.55,0.9703,2.01
IMG_1555_eslf,33.60,0.9774,2.10
IMG_1586_eslf,42.52,0.9909,2.18
IMG_1743_eslf,37.47,0.9541,2.26
Cars,34.12,0.9808,2.34
Flower1,36.54,0.9855,2.39
Flower2,35.80,0.9818,2.50
Rock,37.84,0.9821,2.53
Seahorse,35.59,0.9854,2.62
