idx,scene,sadense_psnr,hybrid_psnr,gap_psnr,sadense_ssim,hybrid_ssim,gap_ssim
0,IMG_1085_eslf,45.0430,38.4200,-6.6230,0.9850,0.9702,-0.0148
1,IMG_1086_eslf,47.8218,39.3800,-8.4418,0.9910,0.9785,-0.0125
2,IMG_1184_eslf,44.1712,39.3400,-4.8312,0.9775,0.9425,-0.0350
3,IMG_1187_eslf,43.9228,38.2600,-5.6628,0.9818,0.9448,-0.0370
4,IMG_1306_eslf,42.5658,35.2600,-7.3058,0.9887,0.9549,-0.0338
5,IMG_1312_eslf,47.0284,41.2200,-5.8084,0.9882,0.9701,-0.0181
6,IMG_1316_eslf,42.6560,36.0400,-6.6160,0.9881,0.9611,-0.0270
7,IMG_1317_eslf,41.6928,35.3400,-6.3528,0.9883,0.9663,-0.0220
8,IMG_1320_eslf,40.2598,32.0900,-8.1698,0.9891,0.9645,-0.0246
9,IMG_1321_eslf,47.1888,41.1600,-6.0288,0.9901,0.9753,-0.0148
10,IMG_1324_eslf,49.3558,44.5800,-4.7758,0.9883,0.9824,-0.0059
11,IMG_1325_eslf,45.3438,38.6300,-6.7138,0.9868,0.9686,-0.0182
12,IMG_1327_eslf,42.6256,35.7900,-6.8356,0.9871,0.9584,-0.0287
13,IMG_1328_eslf,44.5746,38.5600,-6.0146,0.9844,0.9564,-0.0280
14,IMG_1340_eslf,48.1547,42.7200,-5.4347,0.9894,0.9793,-0.0101
15,IMG_1389_eslf,46.9102,40.2700,-6.6402,0.9919,0.9832,-0.0087
16,IMG_1390_eslf,48.1160,41.9100,-6.2060,0.9907,0.9796,-0.0111
17,IMG_1411_eslf,35.3749,28.3300,-7.0449,0.9749,0.9233,-0.0516
18,IMG_1419_eslf,36.5025,30.9200,-5.5825,0.9806,0.9464,-0.0342
19,IMG_1528_eslf,34.5689,25.8300,-8.7389,0.9706,0.8944,-0.0762
20,IMG_1541_eslf,35.5574,28.9500,-6.6074,0.9750,0.9274,-0.0476
21,IMG_1554_eslf,31.3140,24.0200,-7.2940,0.9737,0.8924,-0.0813
22,IMG_1555_eslf,34.5108,27.0300,-7.4808,0.9793,0.9159,-0.0634
23,IMG_1586_eslf,43.9800,34.1500,-9.8300,0.9903,0.9686,-0.0217
24,IMG_1743_eslf,37.5538,30.5300,-7.0238,0.9577,0.9210,-0.0367
25,Cars,34.7949,27.7900,-7.0049,0.9809,0.9338,-0.0471
26,Flower1,37.3990,29.3400,-8.0590,0.9864,0.9363,-0.0501
27,Flower2,36.0659,28.6900,-7.3759,0.9819,0.9226,-0.0593
28,Rock,38.3526,31.4800,-6.8726,0.9809,0.9437,-0.0372
29,Seahorse,35.7400,28.2400,-7.5000,0.9844,0.9394,-0.0450
avg,,41.3049,34.4757,-6.8292,0.9834,0.9500,-0.0334
