scene_idx,psnr_60view,psnr_64view,ssim_60view
0,38.42,38.48,0.9702
1,39.38,39.34,0.9785
2,39.34,39.41,0.9425
3,38.26,38.35,0.9448
4,35.26,35.31,0.9549
5,41.22,41.24,0.9701
6,36.04,36.09,0.9611
7,35.34,35.42,0.9663
8,32.09,32.03,0.9645
9,41.16,41.15,0.9753
10,44.58,44.62,0.9824
11,38.63,38.64,0.9686
12,35.79,35.78,0.9584
13,38.56,38.58,0.9564
14,42.72,42.74,0.9793
15,40.27,40.33,0.9832
16,41.91,41.97,0.9796
17,28.33,28.37,0.9233
18,30.92,30.89,0.9464
19,25.83,25.77,0.8944
20,28.95,28.96,0.9274
21,24.02,24.01,0.8924
22,27.03,27.00,0.9159
23,34.15,34.16,0.9686
24,30.53,30.51,0.9210
25,27.79,27.73,0.9338
26,29.34,29.28,0.9363
27,28.69,28.65,0.9226
28,31.48,31.47,0.9437
29,28.24,28.24,0.9394
avg,34.4757,34.4840,0.9500
