sample,psnr_y_60view,ssim_y_60view
IMG_1085_eslf,45.0430,0.9850
IMG_1086_eslf,47.8218,0.9910
IMG_1184_eslf,44.1712,0.9775
IMG_1187_eslf,43.9228,0.9818
IMG_1306_eslf,42.5658,0.9887
IMG_1312_eslf,47.0284,0.9882
IMG_1316_eslf,42.6560,0.9881
IMG_1317_eslf,41.6928,0.9883
IMG_1320_eslf,40.2598,0.9891
IMG_1321_eslf,47.1888,0.9901
IMG_1324_eslf,49.3558,0.9883
IMG_1325_eslf,45.3438,0.9868
IMG_1327_eslf,42.6256,0.9871
IMG_1328_eslf,44.5746,0.9844
IMG_1340_eslf,48.1547,0.9894
IMG_1389_eslf,46.9102,0.9919
IMG_1390_eslf,48.1160,0.9907
IMG_1411_eslf,35.3749,0.9749
IMG_1419_eslf,36.5025,0.9806
IMG_1528_eslf,34.5689,0.9706
IMG_1541_eslf,35.5574,0.9750
IMG_1554_eslf,31.3140,0.9737
IMG_1555_eslf,34.5108,0.9793
IMG_1586_eslf,43.9800,0.9903
IMG_1743_eslf,37.5538,0.9577
Cars,34.7949,0.9809
Flower1,37.3990,0.9864
Flower2,36.0659,0.9819
Rock,38.3526,0.9809
Seahorse,35.7400,0.9844
avg,41.3049,0.9834
